,Daily_Screen_Time,App_Social_Media_Time,App_Work_Time,App_Entertainment_Time,Phone_Unlocks,Sleep_Duration,Well_Being_Score,Stress_Level,Mood_Rating
0,439.0,144.0,68.0,227.0,140.0,6.3,4.0,4.0,4.0
1,539.0,96.0,38.0,405.0,149.0,4.7,10.0,7.0,1.0
2,232.0,59.0,42.0,131.0,77.0,6.5,3.0,10.0,7.0
3,515.0,221.0,49.0,245.0,72.0,8.0,10.0,1.0,2.0
4,518.0,211.0,14.0,293.0,15.0,7.4,5.0,4.0,10.0
5,318.0,3.0,44.0,271.0,71.0,5.6,10.0,5.0,8.0
6,173.0,17.0,12.0,144.0,96.0,8.9,10.0,2.0,4.0
7,249.0,58.0,45.0,146.0,97.0,8.6,6.0,5.0,2.0
8,205.0,52.0,58.0,95.0,78.0,4.9,8.0,4.0,7.0
9,322.0,146.0,48.0,128.0,60.0,7.8,4.0,4.0,5.0
10,295.0,65.0,85.0,145.0,33.0,7.4,6.0,3.0,9.0
11,179.0,31.0,25.0,123.0,50.0,7.1,2.0,2.0,6.0
12,206.0,60.0,35.0,111.0,18.0,4.3,7.0,5.0,3.0
13,225.0,61.0,10.0,154.0,145.0,5.6,2.0,3.0,9.0
14,193.0,40.0,38.0,115.0,111.0,4.7,9.0,5.0,9.0
15,436.0,213.0,117.0,106.0,143.0,5.3,9.0,10.0,6.0
16,390.0,94.0,92.0,204.0,60.0,6.1,10.0,3.0,6.0
17,122.0,24.0,18.0,80.0,13.0,5.1,5.0,10.0,2.0
18,118.0,46.0,12.0,60.0,113.0,7.9,7.0,5.0,10.0
19,488.0,187.0,32.0,269.0,115.0,6.7,3.0,2.0,5.0
20,429.0,14.0,67.0,348.0,20.0,8.9,3.0,3.0,6.0
21,199.0,67.0,20.0,112.0,27.0,7.3,1.0,1.0,5.0
22,424.0,7.0,122.0,295.0,139.0,6.2,4.0,10.0,2.0
23,184.0,79.0,43.0,62.0,123.0,4.3,8.0,1.0,2.0
24,528.0,243.0,68.0,217.0,74.0,7.0,6.0,9.0,4.0
25,387.0,51.0,44.0,292.0,107.0,5.8,2.0,3.0,7.0
26,230.0,85.0,10.0,135.0,30.0,5.6,10.0,1.0,6.0
27,578.0,50.0,110.0,418.0,102.0,8.7,10.0,3.0,2.0
28,598.0,141.0,121.0,336.0,78.0,4.5,5.0,6.0,6.0
29,238.0,102.0,64.0,72.0,15.0,8.1,1.0,8.0,4.0
30,436.0,114.0,23.0,299.0,56.0,5.6,5.0,4.0,1.0
31,523.0,134.0,151.0,238.0,51.0,8.4,10.0,2.0,1.0
32,588.0,47.0,141.0,400.0,77.0,5.5,2.0,1.0,8.0
33,557.0,162.0,157.0,238.0,16.0,6.1,9.0,7.0,8.0
34,411.0,52.0,96.0,263.0,50.0,8.3,5.0,4.0,10.0
35,351.0,25.0,10.0,316.0,25.0,5.9,3.0,1.0,2.0
36,568.0,97.0,32.0,439.0,28.0,8.0,7.0,9.0,7.0
37,114.0,55.0,21.0,38.0,53.0,6.0,7.0,8.0,6.0
38,69.0,34.0,1.0,34.0,57.0,7.1,6.0,7.0,10.0
39,351.0,147.0,82.0,122.0,140.0,6.4,4.0,10.0,3.0
40,69.0,14.0,0.0,55.0,46.0,8.9,1.0,5.0,1.0
41,473.0,154.0,95.0,224.0,47.0,6.1,6.0,2.0,4.0
42,590.0,202.0,141.0,247.0,10.0,7.0,8.0,5.0,6.0
43,368.0,183.0,71.0,114.0,89.0,6.4,5.0,9.0,8.0
44,330.0,40.0,46.0,244.0,94.0,6.6,10.0,1.0,2.0
45,327.0,51.0,15.0,261.0,98.0,4.8,6.0,2.0,10.0
46,523.0,261.0,23.0,239.0,47.0,8.8,2.0,8.0,6.0
47,205.0,102.0,58.0,45.0,28.0,8.4,1.0,4.0,5.0
48,71.0,34.0,19.0,18.0,30.0,7.8,4.0,3.0,8.0
49,99.0,12.0,21.0,66.0,64.0,6.0,2.0,9.0,3.0
50,336.0,161.0,38.0,137.0,115.0,5.9,2.0,9.0,10.0
51,164.0,70.0,34.0,60.0,135.0,7.5,1.0,8.0,3.0
52,553.0,250.0,63.0,240.0,148.0,8.4,2.0,4.0,3.0
53,441.0,139.0,85.0,217.0,135.0,6.6,10.0,4.0,1.0
54,404.0,6.0,87.0,311.0,123.0,8.5,5.0,6.0,6.0
55,131.0,43.0,22.0,66.0,50.0,8.3,3.0,10.0,6.0
56,210.0,56.0,54.0,100.0,65.0,5.9,2.0,7.0,2.0
57,367.0,126.0,1.0,240.0,122.0,7.8,7.0,5.0,3.0
58,102.0,13.0,16.0,73.0,110.0,8.5,2.0,9.0,1.0
59,124.0,14.0,2.0,108.0,117.0,7.2,5.0,10.0,7.0
60,394.0,22.0,18.0,354.0,80.0,6.1,9.0,7.0,7.0
61,149.0,25.0,16.0,108.0,101.0,7.7,2.0,2.0,8.0
62,560.0,259.0,87.0,214.0,72.0,8.5,5.0,2.0,10.0
63,486.0,87.0,109.0,290.0,36.0,7.5,10.0,1.0,6.0
64,582.0,10.0,158.0,414.0,55.0,8.8,8.0,1.0,10.0
65,132.0,4.0,38.0,90.0,54.0,5.6,8.0,5.0,10.0
66,316.0,104.0,50.0,162.0,135.0,4.9,5.0,8.0,6.0
67,337.0,3.0,60.0,274.0,90.0,4.9,3.0,1.0,8.0
68,297.0,77.0,11.0,209.0,32.0,6.9,4.0,2.0,4.0
69,342.0,22.0,78.0,242.0,129.0,5.6,10.0,2.0,9.0
70,183.0,55.0,14.0,114.0,13.0,7.3,6.0,4.0,2.0
71,354.0,176.0,100.0,78.0,105.0,5.2,6.0,9.0,6.0
72,333.0,148.0,28.0,157.0,14.0,6.6,6.0,5.0,6.0
73,267.0,28.0,40.0,199.0,59.0,5.5,1.0,6.0,6.0
74,336.0,155.0,11.0,170.0,14.0,6.0,5.0,6.0,3.0
75,256.0,61.0,7.0,188.0,32.0,4.7,3.0,10.0,1.0
76,239.0,92.0,40.0,107.0,107.0,8.5,3.0,9.0,1.0
77,495.0,61.0,51.0,383.0,15.0,6.4,8.0,10.0,10.0
78,413.0,67.0,6.0,340.0,22.0,7.8,6.0,10.0,1.0
79,209.0,78.0,2.0,129.0,112.0,8.2,1.0,8.0,1.0
80,177.0,53.0,38.0,86.0,57.0,7.4,8.0,3.0,3.0
81,194.0,77.0,44.0,73.0,58.0,8.3,5.0,2.0,3.0
82,592.0,291.0,143.0,158.0,105.0,4.7,1.0,8.0,8.0
83,199.0,39.0,34.0,126.0,77.0,7.4,1.0,5.0,9.0
84,103.0,40.0,11.0,52.0,142.0,7.8,9.0,5.0,9.0
85,497.0,71.0,117.0,309.0,42.0,6.9,3.0,8.0,6.0
86,378.0,113.0,75.0,190.0,92.0,5.9,7.0,4.0,5.0
87,71.0,24.0,13.0,34.0,110.0,6.7,4.0,4.0,5.0
88,510.0,185.0,71.0,254.0,44.0,8.9,4.0,1.0,9.0
89,237.0,31.0,8.0,198.0,34.0,6.7,3.0,5.0,10.0
90,114.0,55.0,18.0,41.0,91.0,7.0,1.0,1.0,6.0
91,304.0,91.0,6.0,207.0,112.0,6.2,5.0,10.0,1.0
92,92.0,2.0,1.0,89.0,79.0,6.5,5.0,3.0,2.0
93,419.0,138.0,29.0,252.0,46.0,7.0,4.0,2.0,4.0
94,305.0,46.0,80.0,179.0,24.0,4.0,8.0,7.0,5.0
95,142.0,16.0,3.0,123.0,66.0,8.5,8.0,7.0,1.0
96,508.0,69.0,21.0,418.0,53.0,5.7,2.0,8.0,2.0
97,244.0,112.0,16.0,116.0,143.0,7.6,4.0,5.0,9.0
98,169.0,28.0,27.0,114.0,61.0,5.9,3.0,10.0,9.0
99,246.0,34.0,10.0,202.0,70.0,5.0,3.0,3.0,3.0
100,213.0,90.0,40.0,83.0,27.0,5.5,1.0,9.0,4.0
101,404.0,36.0,33.0,335.0,64.0,7.7,6.0,5.0,7.0
102,196.0,36.0,47.0,113.0,65.0,4.1,5.0,2.0,7.0
103,269.0,37.0,52.0,180.0,128.0,6.0,10.0,7.0,8.0
104,434.0,134.0,55.0,245.0,104.0,7.2,8.0,5.0,6.0
105,253.0,54.0,41.0,158.0,94.0,4.3,1.0,3.0,2.0
106,546.0,111.0,156.0,279.0,123.0,5.6,1.0,8.0,8.0
107,348.0,98.0,100.0,150.0,34.0,4.2,8.0,7.0,6.0
108,497.0,38.0,20.0,439.0,21.0,5.3,4.0,8.0,8.0
109,466.0,174.0,85.0,207.0,133.0,4.3,10.0,10.0,8.0
110,289.0,108.0,50.0,131.0,78.0,7.3,4.0,4.0,2.0
111,343.0,40.0,72.0,231.0,121.0,6.3,10.0,1.0,6.0
112,593.0,106.0,156.0,331.0,24.0,4.9,2.0,5.0,3.0
113,126.0,28.0,31.0,67.0,33.0,7.5,4.0,5.0,2.0
114,452.0,159.0,18.0,275.0,31.0,8.4,6.0,6.0,1.0
115,241.0,76.0,15.0,150.0,68.0,4.3,10.0,6.0,5.0
116,137.0,42.0,0.0,95.0,126.0,8.0,2.0,6.0,2.0
117,119.0,46.0,8.0,65.0,111.0,6.8,4.0,9.0,10.0
118,240.0,97.0,36.0,107.0,58.0,4.2,1.0,7.0,10.0
119,265.0,111.0,21.0,133.0,136.0,5.7,10.0,1.0,3.0
120,411.0,127.0,85.0,199.0,14.0,4.3,6.0,7.0,2.0
121,99.0,31.0,4.0,64.0,114.0,4.0,8.0,6.0,7.0
122,415.0,64.0,106.0,245.0,92.0,5.1,10.0,9.0,8.0
123,244.0,21.0,65.0,158.0,25.0,4.0,4.0,7.0,9.0
124,298.0,138.0,14.0,146.0,37.0,5.3,1.0,4.0,1.0
125,406.0,88.0,72.0,246.0,21.0,5.1,2.0,4.0,6.0
126,448.0,1.0,0.0,447.0,134.0,4.8,2.0,9.0,4.0
127,351.0,96.0,46.0,209.0,86.0,7.5,8.0,7.0,10.0
128,523.0,182.0,117.0,224.0,18.0,8.5,9.0,7.0,1.0
129,314.0,46.0,75.0,193.0,74.0,8.0,10.0,4.0,6.0
130,447.0,118.0,123.0,206.0,35.0,7.9,4.0,1.0,10.0
131,162.0,50.0,10.0,102.0,74.0,8.3,3.0,4.0,6.0
132,253.0,115.0,49.0,89.0,80.0,5.7,4.0,3.0,4.0
133,449.0,142.0,0.0,307.0,102.0,7.9,5.0,1.0,3.0
134,81.0,28.0,21.0,32.0,122.0,7.9,5.0,9.0,5.0
135,184.0,44.0,49.0,91.0,18.0,8.0,2.0,7.0,7.0
136,583.0,165.0,61.0,357.0,116.0,6.5,5.0,7.0,7.0
137,487.0,223.0,3.0,261.0,14.0,6.3,6.0,8.0,4.0
138,441.0,28.0,73.0,340.0,35.0,8.2,7.0,10.0,9.0
139,360.0,0.0,70.0,290.0,74.0,5.2,1.0,6.0,8.0
140,96.0,28.0,22.0,46.0,129.0,7.0,8.0,2.0,9.0
141,277.0,109.0,47.0,121.0,64.0,7.0,6.0,10.0,4.0
142,596.0,218.0,144.0,234.0,103.0,4.2,7.0,8.0,9.0
143,572.0,55.0,60.0,457.0,29.0,9.0,8.0,1.0,1.0
144,292.0,76.0,17.0,199.0,45.0,6.5,10.0,8.0,8.0
145,188.0,45.0,37.0,106.0,80.0,6.1,4.0,2.0,5.0
146,415.0,103.0,91.0,221.0,139.0,8.5,1.0,9.0,6.0
147,274.0,93.0,80.0,101.0,134.0,5.2,9.0,5.0,6.0
148,600.0,297.0,98.0,205.0,34.0,6.2,3.0,4.0,9.0
